identifier,defined_in_phase,referenced_in_phases,reference_count
D-01,0,"1;2;4",17
D-02,0,"1;5",14
D-03,0,"1;2",16
D-04,0,"1",11
D-05,0,"1;5",21
D-06,0,"1;2",9
D-07,0,"1;2;4",10
D-08,0,"1;2;3;4;5",11
D-09,0,"1",7
D-10,0,"1",3
D-11,0,"1;2;4",13
CCR-01,1,"2;7",3
CCR-04,1,"2;7",4
OCR-01,1,"2;3;4;7",6
OCR-03,1,"2;3;7",5
NER-01,1,"",0
LED-03,1,"",0
CCR-02,1,"2",2
G-01,1,"2",5
G-02,1,"",5
G-03,1,"",3
G-04,1,"",2
G-05,1,"",3
G-06,1,"",0
G-07,1,"",0
G-08,1,"",0
G-09,1,"",0
G-10,1,"2;3;4",4
NG-01,1,"2;3;5",4
NG-02,1,"2;3;5",5
NG-03,1,"2;3;5",3
NG-04,1,"3;5",2
NG-05,1,"2;3;5",3
LED-04,1,"",0
ENG-02,1,"",0
ARG-01,1,"",0
V-00,1,"",0
V-04,1,"",0
C-17,1,"",0
LED-06,1,"",0
LED-07,1,"",0
PUR-01,1,"4",1
ENG-03,1,"",0
REN-01,1,"",0
REN-02,1,"",0
REN-05,1,"",0
REN-07,1,"",0
ADV-02,1,"",0
RPT-03,1,"",0
MET-01,1,"2;3;5",5
MET-02,1,"3;4",4
OCR-02,1,"3",1
MET-03,1,"",0
MET-04,1,"",0
MET-05,1,"5",1
MET-06,1,"3;4",4
MET-07,1,"3;5",2
MET-08,1,"3;4;5",3
MET-09,1,"5",1
MET-10,1,"",0
MET-11,1,"2;3;5",6
MET-12,1,"",0
MET-13,1,"",0
CAP-01,1,"4",1
CAP-02,1,"",0
AST-01,1,"",0
CAP-03,1,"",0
REL-01,1,"",0
CAP-04,1,"",0
MAP-01,1,"",0
MAP-02,1,"",0
CAP-05,1,"",0
TIME-01,1,"",0
CAP-06,1,"4",1
CLS-01,1,"",0
CAP-07,1,"",0
PHE-01,1,"",0
PHE-02,1,"",0
CAP-08,1,"5",1
RISK-01,1,"",0
RISK-02,1,"",0
CAP-09,1,"4",1
AE-01,1,"",0
CAP-10,1,"",0
SDOH-01,1,"",0
CAP-11,1,"4",1
VOICE-01,1,"",0
CAP-12,1,"",0
SUM-01,1,"",0
SUM-02,1,"",0
CAP-13,1,"",0
QA-01,1,"",0
QA-02,1,"",0
CAP-14,1,"4;5",4
DEID-01,1,"",0
DEID-02,1,"",0
CAP-15,1,"",0
MATCH-01,1,"",0
CAP-16,1,"4",1
MM-01,1,"",0
MM-02,1,"",0
CAP-17,1,"",0
PACK-01,1,"",0
CAP-18,1,"",0
WF-01,1,"",0
CAP-20,1,"2;4;5;6",9
CAP-19,1,"",0
ST-01,1,"",1
ST-02,1,"",2
ST-03,1,"",7
RE-01,1,"",0
RE-02,1,"",0
ADV-03,1,"",0
